cpu_id;cpu_name;manufacturer;cores_number;threads_number;min_clock_speed;max_clock_speed;memory
181;Xeon E3-1285L v4;Intel;4;8;3,4;3,8;6
182;Athlon II 170u;AMD;1;2;2;2;1
183;Core i5-3570T;Intel;4;8;2,3;3,3;6
184;AthlonII X3 400e;AMD;3;6;2,2;2,2;1,5
185;Athlon II X4 615e;AMD;4;8;2,5;2,5;2
186;Xeon E3-1231 V3;Intel;4;8;3,4;3,8;8
187;Core i5-4460S;Intel;4;8;2,9;3,4;6
188;Xeon E3-1286L V3;Intel;4;8;3,2;4;8
189;Core i7-8700T;Intel;6;12;2,4;4;12
190;Ryzen 3 2200G;AMD;4;8;3,5;3,7;4
191;Core i5-3470S;Intel;4;8;2,9;3,6;6
192;Core i5-9600K;Intel;6;12;3,7;4,6;9
193;Xeon E3-1285L v4;Intel;4;8;3,4;3,8;6
194;Core i3-9300T;Intel;4;8;3,2;3,8;8
195;AthlonII X2 245;AMD;2;4;2,9;2,9;2
196;Core i3-8300;Intel;4;8;3,7;3,7;8
197;PRO A12-9800;AMD;4;8;3,8;4,2;2
198;Pentium G640;Intel;2;4;2,8;2,8;3
199;Ryzen 3 4300G;AMD;4;8;3,8;4;4
200;A8-9600;AMD;4;8;3,1;3,4;2
201;Ryzen 5 1600X;AMD;6;12;3,6;4;16
202;Core i5-750S;Intel;4;8;2,4;3,2;8
203;Ryzen 5 4600GE;AMD;6;12;3,3;4,2;8
204;Xeon E3-1245 v5;Intel;4;8;3,5;3,9;8
205;Xeon E3-1225;Intel;4;8;3,1;3,4;6
206;AthlonII X2 B24;AMD;2;4;3;3;2
207;Core i7-2700K;Intel;4;8;3,5;3,9;8
208;Athlon Gold PRO 3150GE;AMD;4;8;3,3;3,8;4
209;Celeron G4900T;Intel;2;4;2,9;2,9;2
210;Phenom II X4 830;AMD;4;8;2,8;2,8;6
211;AthlonII X2 260;AMD;2;4;3,2;3,2;2
212;Phenom II X4 B95;AMD;4;8;3;3;6
213;Sempron X2 180;AMD;2;4;2,4;2,4;1
214;Celeron G465;Intel;1;2;1,9;1,9;1,5
215;Xeon E3-1220;Intel;4;8;3,1;3,4;8
216;Core i9-9900T;Intel;8;16;2,1;4,4;16
217;Celeron G555;Intel;2;4;2,7;2,7;2
218;PhenomII X3 710;AMD;3;6;2,6;2,6;6
219;AthlonII X2 B30;AMD;2;4;3,6;3,6;2
220;Xeon E3-1246 V3;Intel;4;8;3,5;3,9;8
221;Core i3-3240T;Intel;2;4;2,9;2,9;3
222;Pentium G4560T;Intel;2;4;2,9;2,9;3
223;Phenom II X6 1045T;AMD;6;12;2,7;3,2;6
224;Ryzen 5 PRO 4650G;AMD;6;12;3,7;4,2;8
225;Xeon E3-1220 v2;Intel;4;8;3,1;3,5;8
226;Phenom II X4 905e;AMD;4;8;2,5;2,5;6
227;Xeon E3-1265L v2;Intel;4;8;2,5;3,5;8
228;Xeon X3470;Intel;4;8;2,93;3,60;8
229;Pentium G840;Intel;2;4;2,8;2,8;3
230;Core i3-6100TE;Intel;2;4;2,7;2,7;4
231;Pentium G4500T;Intel;2;4;3;3;3
232;PRO A10-8770;AMD;4;8;3,5;3,8;2
233;Celeron G540;Intel;2;4;2,5;2,5;2
234;Core i7-4770TE;Intel;4;8;2,3;3,3;8
235;Core i5-3470T;Intel;2;4;2,9;3,6;3
236;Pentium G3250T;Intel;2;4;2,8;2,8;3
237;PRO A12-8870E;AMD;4;8;2,9;3,8;2
238;Pentium G640;Intel;2;4;2,8;2,8;3
239;Core i3-8300;Intel;4;8;3,7;3,7;8
240;Xeon E3-1275L V3;Intel;4;8;2,7;3,9;8
241;Xeon E-2244G;Intel;4;8;3,8;4,8;8
242;Xeon E3-1260L;Intel;4;8;2,4;3,3;8
243;Ryzen 3 3300X;AMD;4;8;3,8;4,3;16
244;Athlon X4 940;AMD;4;8;3,2;3,6;2
245;Core i3-8100T;Intel;4;8;3,1;3,1;6
246;Athlon 3000G;AMD;2;4;3,5;3,5;4
247;AthlonII X3 400e;AMD;3;6;2,2;2,2;1,5
248;Core i5-8400;Intel;6;12;2,8;4;9
249;AthlonII X2 240e;AMD;2;4;2,8;2,8;2
250;Pentium G4620;Intel;2;4;3,7;3,7;3
251;Core i5-7600T;Intel;4;8;2,8;3,7;6
252;Xeon E3-1220L;Intel;2;4;2,2;3,4;3
253;Xeon E3-1240 v3;Intel;4;8;3,4;3,8;8
254;Sempron X2 180;AMD;2;4;2,4;2,4;1
255;Pentium G3460T;Intel;2;4;3;3;3
256;Xeon E3-1220 v3;Intel;4;8;3,1;3,5;8
257;Ryzen 7 PRO 1700X;AMD;8;16;3,4;3,8;16
258;PRO A6-8570;AMD;2;4;3,5;3,8;1
259;PhenomII X3 720;AMD;3;6;2,8;2,8;6
260;Xeon E3-1220L v3;Intel;2;4;1,1;1,5;4
261;Xeon E3-1241 V3;Intel;4;8;3,5;3,9;8
262;Celeron G1820;Intel;2;4;2,7;2,7;2
263;PhenomII X2 550;AMD;2;4;3,1;3,1;6
264;AthlonII X2 250e;AMD;2;4;3;3;2
265;Core i5-3570T;Intel;4;8;2,3;3,3;6
266;Phenom II X4 830;AMD;4;8;2,8;2,8;6
267;Athlon 3000G;AMD;2;4;3,5;3,5;4
268;Ryzen 3 PRO 1200;AMD;4;8;3,1;3,4;8
269;PhenomII X3 740;AMD;3;6;3;3;6
270;Phenom II X4 805;AMD;4;8;2,5;2,5;4
271;Core i5-4590T;Intel;4;8;2;3;6
272;Core i7-7700;Intel;4;8;3,6;4,2;8
273;Ryzen 3 PRO 1200;AMD;4;8;3,1;3,4;8
274;Ryzen 7 3700X;AMD;8;16;3,6;4,4;32
275;Core i3-3220;Intel;2;4;3,3;3,3;3
276;Core i3-4150;Intel;2;4;3,5;3,5;3
277;Phenom II X4 B99;AMD;4;8;3,4;3,4;6
278;Xeon E3-1225 v2;Intel;4;8;3,2;3,6;8
279;Core i3-8100;Intel;4;8;3,6;3,6;6
280;Core i5-7600;Intel;4;8;3,5;4,1;6
281;Core i5-3570S;Intel;4;8;3,1;3,8;6
282;Core i5-3570K;Intel;4;8;3,4;3,8;6
283;Core i3-3220T;Intel;2;4;2,8;2,8;3
284;Xeon E3-1275 v3;Intel;4;8;3,5;3,9;8
285;Core i7-870s;Intel;4;8;2,66;3,6;8
286;Core i3-4370T;Intel;2;4;3,3;3,3;4
287;Core i5-5675C;Intel;4;8;3,1;3,6;4
288;Celeron G3920;Intel;2;4;2,9;2,9;2
289;Xeon E3-1280;Intel;4;8;3,5;3,9;8
290;Phenom II X4 830;AMD;4;8;2,8;2,8;6
291;AthlonII X2 210e;AMD;2;4;2,6;2,6;1
292;Xeon E3-1260L v5;Intel;4;8;2,9;3,9;8
293;Phenom II X4 650T;AMD;4;8;2,7;3,2;4
294;Ryzen 9 5900X;AMD;12;24;3,7;4,8;64
295;Core i3-8300;Intel;4;8;3,7;3,7;8
296;Pentium G2030T;Intel;2;4;2,6;2,6;3
297;Core i5-3470;Intel;4;8;3,2;3,6;6
298;Core i3-4370;Intel;2;4;3,8;3,8;4
299;Core i3-8100T;Intel;4;8;3,1;3,1;6
300;Xeon X3480;Intel;4;8;3,06;3,73;8
301;Core i9-9900K;Intel;8;16;3,6;5;16
302;Xeon E3-1225;Intel;4;8;3,1;3,4;6
303;Core i5-4690K;Intel;4;8;3,5;3,9;6
304;Pentium Gold G5500;Intel;2;4;3,8;3,8;4
305;Pentium G4560T;Intel;2;4;2,9;2,9;3
306;Xeon E3-1280 v6;Intel;4;8;3,9;4,2;8
307;Core i3-2120T;Intel;2;4;2,6;2,6;3
308;Core i3-7350K;Intel;2;4;4,2;4,2;4
309;Ryzen 5 1500X;AMD;4;8;3,5;3,7;16
310;Athlon 240GE;AMD;2;4;3,5;3,5;4
311;Ryzen 5 1400;AMD;4;8;3,2;3,4;8
312;Pentium G2020;Intel;2;4;2,9;2,9;3
313;AthlonII X3 435;AMD;3;6;2,9;2,9;1,5
314;Core i5-4460;Intel;4;8;3,2;3,4;6
315;PRO A6-8570;AMD;2;4;3,5;3,8;1
316;AthlonII X2 240e;AMD;2;4;2,8;2,8;2
317;Core i5-3340S;Intel;4;8;2,8;3,3;6
318;Xeon E3-1270L v4;Intel;4;8;3;3,6;6
319;Ryzen 7 3700X;AMD;8;16;3,6;4,4;32
320;Xeon E3-1275 v3;Intel;4;8;3,5;3,9;8
321;Core i3-7101TE;Intel;2;4;3,4;3,4;3
322;Sempron X2 180;AMD;2;4;2,4;2,4;1
323;Core i7-7700;Intel;4;8;3,6;4,2;8
324;Xeon E3-1240L v5;Intel;4;8;2,1;3,2;8
325;Core i5-6600;Intel;4;8;3,3;3,9;6
326;Core i5-4670S;Intel;4;8;3,1;3,8;6
327;Core i5-9500;Intel;6;12;3;4,4;9
328;Ryzen 5 PRO 3400GE;AMD;4;8;3,3;4;4
329;Core i5-2500K;Intel;4;8;3,3;3,7;6
330;Ryzen 9 5900X;AMD;12;24;3,7;4,8;64
331;Pentium G3260;Intel;2;4;3,3;3,3;3
332;Core i5-2405S;Intel;4;8;2,5;3,3;6
333;Pentium G2120T;Intel;2;4;2,7;2,7;3
334;Xeon E3-1245 v3;Intel;4;8;3,4;3,8;8
335;Core i5-4590;Intel;4;8;3,3;3,7;6
336;AthlonII X4 600e;AMD;4;8;2,2;2,2;2
337;Pentium G622;Intel;2;4;2,6;2,6;3
338;Celeron G540;Intel;2;4;2,5;2,5;2
339;Core i5-8600T;Intel;6;12;2,3;3,7;9
340;Core i5-8400T;Intel;6;12;1,7;3,3;9
341;Ryzen 5 PRO 4650G;AMD;6;12;3,7;4,2;8
342;Core i9-9900KS;Intel;8;16;4;5;16
343;Celeron G1820T;Intel;2;4;2,4;2,4;2
344;Pentium G4560;Intel;2;4;3,5;3,5;3
345;Ryzen 7 3800XT;AMD;8;16;3,9;4,7;32
346;Pentium G3460T;Intel;2;4;3;3;3
347;Phenom II X4 820;AMD;4;8;2,8;2,8;4
348;Core i9-9900T;Intel;8;16;2,1;4,4;16
349;Athlon II X4 615e;AMD;4;8;2,5;2,5;2
350;Core i7-2600;Intel;4;8;3,4;3,8;8
351;Athlon II X4 645;AMD;4;8;3,1;3,1;2
352;Core i5-4430;Intel;4;8;3;3,2;6
353;Core i7-4771;Intel;4;8;3,5;3,9;8
354;Core i3-3220T;Intel;2;4;2,8;2,8;3
355;Phenom II X6 1065T;AMD;6;12;2,9;3,4;6
356;Core i5-661;Intel;2;4;3,33;3,6;4
357;Celeron G530;Intel;2;4;2,4;2,4;2
358;Xeon E3-1268L v3;Intel;4;8;2,3;3,3;8
359;PRO A12-8870;AMD;4;8;3,7;4,2;2
360;Xeon E3-1280 v5;Intel;4;8;3,7;4;8
361;Xeon E3-1230 v2;Intel;4;8;3,3;3,7;8
362;Celeron G4900;Intel;2;4;3,1;3,1;2
363;Core i3-4130T;Intel;2;4;2,9;2,9;3
364;Pentium G3250T;Intel;2;4;2,8;2,8;3
365;Core i3-9350KF;Intel;4;8;4;4,6;8
366;Pentium G2010;Intel;2;4;2,8;2,8;3
367;Xeon E3-1260L;Intel;4;8;2,4;3,3;8
368;Celeron G460;Intel;1;2;1,8;1,8;1,5
369;Xeon X3450;Intel;4;8;2,66;3,2;8
370;Core i7-860;Intel;4;8;2,8;3,46;8
371;Xeon X3440;Intel;4;8;2,53;2,93;8
372;Celeron G460;Intel;1;2;1,8;1,8;1,5
373;Phenom II X4 945;AMD;4;8;3;3;6
374;Ryzen 7 2700E;AMD;8;16;2,8;4;16
375;Core i5-3340;Intel;4;8;3,1;3,3;6
376;Pentium G645T;Intel;2;4;2,5;2,5;3
377;Phenom II X4 925;AMD;4;8;2,8;2,8;6
378;Ryzen 9 3900X;AMD;12;24;3,8;4,6;64
379;Xeon X3450;Intel;4;8;2,66;3,2;8
380;Celeron G4900;Intel;2;4;3,1;3,1;2
381;Xeon E-2134;Intel;4;8;3,5;4,5;8
382;Core i5-3570S;Intel;4;8;3,1;3,8;6
383;Ryzen 5 3600X;AMD;6;12;3,8;4,4;32
384;Pentium G6950;Intel;2;4;2,8;2,8;3
385;Celeron G540T;Intel;2;4;2,1;2,1;2
386;AthlonII X2 240e;AMD;2;4;2,8;2,8;2
387;Pentium Gold G5500;Intel;2;4;3,8;3,8;4
388;AthlonII X2 B24;AMD;2;4;3;3;2
389;Xeon E3-1220L v3;Intel;2;4;1,1;1,5;4
390;Ryzen 3 1300X;AMD;4;8;3,5;3,7;8
391;Pentium G6960;Intel;2;4;2,93;2,93;3
392;Phenom II X4 B93;AMD;4;8;2,8;2,8;6
393;Sempron 150;AMD;1;2;2,9;2,9;1
394;Xeon E3-1225 v5;Intel;4;8;3,3;3,7;8
395;Pentium G3260T;Intel;2;4;2,9;2,9;3
396;Core i3-3240T;Intel;2;4;2,9;2,9;3
397;A6-9550;AMD;2;4;3,8;4;1
398;Core i3-2100T;Intel;2;4;2,5;2,5;3
399;Core i3-4370T;Intel;2;4;3,3;3,3;4
400;Core i7-870;Intel;4;8;2,93;3,60;8
401;Xeon E3-1280;Intel;4;8;3,5;3,9;8
402;Celeron G555;Intel;2;4;2,7;2,7;2
403;A6-9400;AMD;2;4;3,4;3,7;1
404;Celeron G3900;Intel;2;4;2,8;2,8;2
405;Opteron 1381;AMD;4;8;2,5;2,5;6
406;Core i5-6500;Intel;4;8;3,2;3,6;6
407;Core i7-8700;Intel;6;12;3,2;4,6;12
408;Core i7-4785T;Intel;4;8;2,2;3,2;8
409;Ryzen 9 3950X;AMD;16;32;3,5;4,7;64
410;Celeron G530;Intel;2;4;2,4;2,4;2
411;Xeon E3-1270L v4;Intel;4;8;3;3,6;6
412;PRO A8-9600;AMD;4;8;3,1;3,4;2
413;Ryzen 3 PRO 2200G;AMD;4;8;3,5;3,7;4
414;Core i3-6098P;Intel;2;4;3,6;3,6;3
415;Pentium G2120T;Intel;2;4;2,7;2,7;3
416;Athlon Silver PRO 3125GE;AMD;2;4;3,4;3,4;4
417;Core i5-3470;Intel;4;8;3,2;3,6;6
418;Ryzen 5 2600X;AMD;6;12;3,6;4,2;16
419;Phenom II X6 1035T;AMD;6;12;2,6;3,1;6
420;Xeon E3-1280 v5;Intel;4;8;3,7;4;8
421;Xeon E-2124G;Intel;4;8;3,4;4,5;8
422;AthlonII X3 405e;AMD;3;6;2,3;2,3;1,5
423;Opteron 1389;AMD;4;8;2,9;2,9;6
424;Pentium Gold G5400T;Intel;2;4;3,1;3,1;4
425;Athlon 3000G;AMD;2;4;3,5;3,5;4
426;Celeron G555;Intel;2;4;2,7;2,7;2
427;Core i5-9500F;Intel;6;12;3;4,4;9
428;Core i3-9350KF;Intel;4;8;4;4,6;8
429;Core i5-9400;Intel;6;12;2,9;4,1;9
430;PhenomII X2 560;AMD;2;4;3,3;3,3;6
431;Core i9-9900;Intel;8;16;3,1;5;16
432;Pentium G4400T;Intel;2;4;2,9;2,9;3
433;Core i3-6100;Intel;2;4;3,7;3,7;3
434;Pentium G4620;Intel;2;4;3,7;3,7;3
435;AthlonII X2 235e;AMD;2;4;2,7;2,7;2
436;Xeon E-2244G;Intel;4;8;3,8;4,8;8
437;Celeron G540T;Intel;2;4;2,1;2,1;2
438;Core i3-9350KF;Intel;4;8;4;4,6;8
439;Core i5-4460T;Intel;4;8;1,9;2,7;6
440;218 Athlon II 160u;AMD;1;2;1,8;1,8;1
441;Xeon E3-1285 v4;Intel;4;8;3,5;3,8;6
442;Core i9-9900KF;Intel;8;16;3,6;5;16
443;Ryzen 7 PRO 1700;AMD;8;16;3;3,7;16
444;Xeon E3-1240 v5;Intel;4;8;3,5;3,9;8
445;Celeron G550;Intel;2;4;2,6;2,6;2
446;Core i5-4570T;Intel;2;4;2,9;3,6;4
447;Ryzen 3 4300GE;AMD;4;8;3,5;4;4
448;Core i5-5675C;Intel;4;8;3,1;3,6;4
449;Celeron G4900;Intel;2;4;3,1;3,1;2
450;A6-9500;AMD;2;4;3,5;3,8;1
451;Core i5-9600K;Intel;6;12;3,7;4,6;9
452;Core i3-2100T;Intel;2;4;2,5;2,5;3
453;Xeon E3-1220L v3;Intel;2;4;1,1;1,5;4
454;Celeron G3930;Intel;2;4;2,9;2,9;2
455;Xeon L3406;Intel;2;4;2,26;2,53;4
456;Xeon E-2244G;Intel;4;8;3,8;4,8;8
457;Core i7-4790;Intel;4;8;3,6;4;8
458;AthlonII X3 420e;AMD;3;6;2,6;2,6;1,5
459;AthlonII X3 425e;AMD;3;6;2,7;2,7;1,5
460;Core i3-3250;Intel;2;4;3,5;3,5;3
461;Core i3-4130;Intel;2;4;3,4;3,4;3
462;Xeon E-2136;Intel;6;12;3,3;4,5;12
463;Core i7-880;Intel;4;8;3,06;3,73;8
464;Phenom II X6 1045T;AMD;6;12;2,7;3,2;6
465;Pentium G2030;Intel;2;4;3;3;3
466;Xeon X3480;Intel;4;8;3,06;3,73;8
467;Pentium G6960;Intel;2;4;2,93;2,93;3
468;Athlon 200GE;AMD;2;4;3,2;3,2;4
