gpu_id;gpu_name;manufacturer;memory;tgp;computer_id
167;Radeon HD 7950 Mac Edition;AMD;3;14;3902
168;GeForce RTX 3080;NVIDIA;10;6;29497
169;TITAN X Pascal;NVIDIA;12;12;26423
170;GeForce RTX 2060;NVIDIA;6;5;58934
171;GeForce RTX 2060 TU104;NVIDIA;6;16;67811
172;GeForce GTX 1650 SUPER;NVIDIA;4;15;88376
173;GeForce RTX 3080 Ti;NVIDIA;12;11;22749
174;Iris Graphics 6100;Intel;0;4;42970
175;Iris Graphics 540;Intel;0;15;13768
176;GeForce GT 1030;NVIDIA;2;18;65452
177;Radeon R5 340X OEM;AMD;2;7;56979
178;UHD Graphics 730;Intel;0;8;32159
179;GeForce RTX 3080 Ti;NVIDIA;12;15;54126
180;UHD Graphics 605;Intel;0;11;5905
181;GeForce GTX 1660;NVIDIA;6;18;40543
182;Radeon HD 8670 OEM;AMD;2;9;83587
183;Radeon R9 390X;AMD;8;12;81403
184;GeForce GTX 1660 Ti;NVIDIA;6;4;49218
185;Radeon R7 360E;AMD;2;6;71999
186;TITAN Xp;NVIDIA;12;20;88344
187;GeForce RTX 3080 Ti;NVIDIA;12;21;34233
188;Radeon R7 370;AMD;2;15;53589
189;GeForce GT 1030 GK107;NVIDIA;2;4;27604
190;Radeon R9 280;AMD;3;;74934
191;Radeon Pro WX 9100;AMD;16;7;37417
192;UHD Graphics 605;Intel;0;15;14202
193;HD Graphics 5300;Intel;0;16;80081
194;Radeon RX 470D;AMD;4;20;2366
195;Radeon RX 460;AMD;2;5;14998
196;Radeon R9 360 OEM;AMD;2;4;32544
197;Radeon R9 280X;AMD;3;6;91780
198;HD Graphics 5600;Intel;0;4;60796
199;GeForce GTX 1060 6 GB Rev. 2;NVIDIA;6;5;69359
200;Radeon R7 435 OEM;AMD;2;12;73778
201;HD Graphics 630;Intel;0;11;35386
202;Iris Pro Graphics P580;Intel;0;11;98204
203;Radeon R7 340 OEM;AMD;2;19;5845
204;GeForce RTX 2080 Ti 12 GB;NVIDIA;12;17;29616
205;GeForce GTX 950 Low Power;NVIDIA;2;7;92924
206;Radeon R7 265;AMD;2;12;83476
207;HD Graphics 520;Intel;0;12;59128
208;Radeon HD 8970 OEM;AMD;3;12;52611
209;HD Graphics 4600;Intel;0;19;79326
210;GeForce GTX 1630;NVIDIA;4;5;86352
211;Radeon R5 430 OEM;AMD;2;9;67341
212;UHD Graphics 600;Intel;0;13;15182
213;GeForce GTX 1080 11Gbps;NVIDIA;8;8;31628
214;UHD Graphics 730;Intel;0;20;72479
215;Radeon Pro W5500;AMD;8;7;93155
216;GeForce RTX 3070 Ti;NVIDIA;8;5;23255
217;Radeon HD 7950;AMD;3;11;75691
218;UHD Graphics 600;Intel;0;14;59999
219;Radeon R9 380;AMD;2;13;87119
220;Radeon R9 390;AMD;8;17;98794
221;Radeon Pro V620;AMD;32;19;47446
222;UHD Graphics 16EU;Intel;0;4;753
223;HD Graphics 510;Intel;0;18;97245
224;Radeon R9 270X;AMD;2;12;78393
225;Radeon Pro V7300X;AMD;8;11;24937
226;UHD Graphics G4;Intel;0;8;92331
227;UHD Graphics 617;Intel;0;14;20581
228;Radeon R5 330 OEM;AMD;2;;86383
229;GeForce RTX 3070 Ti 16 GB;NVIDIA;16;10;12357
230;Iris Graphics 6100;Intel;0;12;89905
231;Radeon R7 360 896SP;AMD;2;12;3698
232;Radeon R7 265X OEM;AMD;2;12;60877
233;Radeon R9 FURY X;AMD;4;13;99577
234;Iris Xe Graphics 80EU;Intel;0;14;12556
235;TITAN X Pascal;NVIDIA;12;7;67573
236;UHD Graphics 600;Intel;0;5;5671
237;GeForce GTX 1650 GDDR6;NVIDIA;4;13;1674
238;Radeon R9 Nano;AMD;4;6;84020
239;UHD Graphics 617;Intel;0;9;39272
240;UHD Graphics 610;Intel;0;19;29390
241;HD Graphics 3000;Intel;0;8;62763
242;Iris Graphics 6100;Intel;0;14;31009
243;UHD Graphics 750;Intel;0;11;61164
244;Radeon R9 270;AMD;2;8;84487
245;GeForce GTX 960 OEM;NVIDIA;3;15;65902
246;Radeon R9 390;AMD;8;19;18215
247;Iris Xe Graphics 80EU;Intel;0;17;95515
248;Radeon R7 240 OEM;AMD;2;12;55933
249;GeForce GTX 1050 Ti;NVIDIA;4;7;64152
250;Iris Plus Graphics 650;Intel;0;6;75133
251;GeForce GTX 1060 3 GB;NVIDIA;3;4;64284
252;HD Graphics 610;Intel;0;17;11716
253;UHD Graphics P630;Intel;0;9;89455
254;UHD Graphics 630;Intel;0;7;60138
255;Radeon R9 390 X2;AMD;8;10;67760
256;UHD Graphics 617;Intel;0;9;67384
257;GeForce GTX 980 Ti;NVIDIA;6;8;41220
258;Radeon Pro WX 2100;AMD;2;20;50074
259;Radeon R7 370;AMD;2;21;34486
260;GeForce RTX 2080;NVIDIA;8;16;28602
261;Radeon R9 285X;AMD;3;15;57688
262;Iris Plus Graphics 640;Intel;0;18;48059
263;UHD Graphics 24EU;Intel;0;20;36162
264;Iris Xe Graphics G7 96EU;Intel;0;21;12318
265;GeForce RTX 2060 12 GB;NVIDIA;12;9;22487
266;Iris Plus Graphics 645;Intel;0;6;97055
267;GeForce GTX 1050;NVIDIA;2;21;39810
268;GeForce RTX 3080;NVIDIA;10;;43436
269;Radeon HD 7870 GHz Edition;AMD;2;20;95750
270;Iris Pro Graphics 580;Intel;0;17;28013
271;UHD Graphics P750;Intel;0;9;40702
272;UHD Graphics 617;Intel;0;5;31583
273;GeForce RTX 3070 Ti;NVIDIA;8;4;65162
274;Radeon Pro Duo;AMD;4;14;27943
275;Radeon Pro WX 3200;AMD;4;10;73114
276;GeForce GTX 1650;NVIDIA;4;15;91761
277;GeForce RTX 3090 Ti;NVIDIA;24;17;17943
278;Radeon R7 250 OEM;AMD;2;7;39239
279;Iris Plus Graphics 640;Intel;0;16;60488
280;Radeon RX 460;AMD;2;15;88885
281;Radeon R7 450 OEM;AMD;2;4;89783
282;GeForce GTX 1080;NVIDIA;8;9;41669
283;Radeon R7 260X;AMD;2;20;68552
284;GeForce RTX 3060 Ti GDDR6X;NVIDIA;8;21;91020
285;Iris Plus Graphics G7;Intel;0;8;88615
286;GeForce GTX 1060 6 GB 9Gbps;NVIDIA;6;10;66067
287;GeForce RTX 3050 8 GB;NVIDIA;8;4;12645
288;GeForce GTX 1070 Ti;NVIDIA;8;18;23304
289;GeForce GT 1010;NVIDIA;2;10;18099
290;HD Graphics 515;Intel;0;5;55454
291;GeForce GT 1030 GK107;NVIDIA;2;21;2472
292;Radeon HD 7870 XT;AMD;2;16;79046
293;Iris Pro Graphics 6200;Intel;0;20;66479
294;GeForce RTX 4080 Ti;NVIDIA;20;8;17027
295;UHD Graphics 770;Intel;0;21;55189
296;GeForce GTX 1080 Ti 10 GB;NVIDIA;10;14;45141
297;HD Graphics 5500;Intel;0;19;86877
298;Radeon R5 430 OEM;AMD;2;6;44040
299;UHD Graphics G1;Intel;0;;36803
300;Radeon HD 7950 Mac Edition;AMD;3;5;39155
301;GeForce RTX 2080 Ti 12 GB;NVIDIA;12;19;56030
302;Radeon HD 7950 Monica BIOS 1;AMD;3;8;23596
303;HD Graphics 510;Intel;0;20;39421
304;TITAN V;NVIDIA;12;15;96808
305;GeForce RTX 4080 12 GB;NVIDIA;12;4;71393
306;UHD Graphics 610;Intel;0;7;22526
307;Radeon HD 8970 OEM;AMD;3;5;23876
308;GeForce GTX 1650 TU116;NVIDIA;4;17;27707
309;UHD Graphics P750;Intel;0;8;83351
310;Iris Pro Graphics P6300;Intel;0;5;86297
311;GeForce GTX 960 OEM;NVIDIA;3;14;89716
312;Iris Pro Graphics 580;Intel;0;7;81391
313;Radeon RX 470D;AMD;4;10;6398
314;Radeon RX 460 1024SP;AMD;2;16;94535
315;Radeon Pro Duo;AMD;4;15;46001
316;Radeon R7 360 896SP;AMD;2;8;96131
317;Radeon HD 7950 Mac Edition;AMD;3;8;46985
318;TITAN X Pascal;NVIDIA;12;11;33531
319;Radeon R9 380;AMD;2;18;72406
320;HD Graphics;Intel;0;9;65028
321;Radeon R9 290X2;AMD;4;4;57182
322;Iris Xe Graphics 80EU;Intel;0;8;13748
323;Radeon R7 250 OEM;AMD;2;11;85505
324;GeForce RTX 2080 SUPER;NVIDIA;8;19;45215
325;Radeon R7 360E;AMD;2;17;30962
326;GeForce GT 1030;NVIDIA;2;16;49504
327;Radeon R9 FURY X;AMD;4;9;76511
328;Iris Graphics 5100;Intel;0;10;61644
329;Radeon R7 350 OEM;AMD;2;19;10537
330;Radeon Pro WX 7100;AMD;8;11;7215
331;HD Graphics P4700;Intel;0;18;4102
332;GeForce GTX 960;NVIDIA;2;18;4285
333;HD Graphics P4000;Intel;0;15;11128
334;Radeon Pro W5700;AMD;8;8;18466
335;Radeon R9 390;AMD;8;17;19072
336;GeForce GT 1030 GK107;NVIDIA;2;13;68258
337;GeForce RTX 4070;NVIDIA;12;18;21646
338;Radeon HD 7950 Monica BIOS 1;AMD;3;20;47210
339;HD Graphics 400;Intel;0;19;81999
340;Radeon Pro W5500;AMD;8;18;28046
341;Radeon Pro W5500;AMD;8;;29083
342;Radeon R7 350 OEM;AMD;2;20;80561
343;Radeon R9 280X;AMD;3;15;7310
344;HD Graphics 530;Intel;0;13;56153
345;GeForce RTX 3070;NVIDIA;8;17;15485
346;UHD Graphics 605;Intel;0;13;15333
347;Radeon HD 8970 OEM;AMD;3;16;51418
348;Radeon HD 7950 Monica BIOS 1;AMD;3;8;81249
349;Radeon R7 430 OEM;AMD;2;4;82342
350;GeForce GTX 1070 GDDR5X;NVIDIA;8;;31643
351;Radeon HD 7970;AMD;3;11;32715
352;HD Graphics 5000;Intel;0;8;59116
353;Radeon R9 360 OEM;AMD;2;17;59979
354;HD Graphics 4400;Intel;0;14;82186
355;GeForce GTX 960 OEM;NVIDIA;3;19;80705
356;Radeon R9 360 OEM;AMD;2;20;29480
357;Radeon RX 460 1024SP;AMD;2;6;97796
358;GeForce RTX 3070;NVIDIA;8;9;19952
359;GeForce GTX 1650 TU106;NVIDIA;4;18;13022
360;Radeon R9 370;AMD;2;5;69205
361;Radeon HD 7950 Boost;AMD;3;21;87898
362;Iris Xe Graphics G4;Intel;0;14;69845
363;GeForce RTX 3060 8 GB;NVIDIA;8;9;64343
364;Radeon R5 310 OEM;AMD;2;20;27102
365;GeForce GTX 1650 TU106;NVIDIA;4;19;31268
366;Radeon HD 8570 OEM;AMD;2;10;3403
367;Radeon R5 330 OEM;AMD;2;18;93005
368;Radeon RX 460;AMD;2;4;24771
369;UHD Graphics 24EU;Intel;0;12;84293
370;GeForce GTX 1060 8 GB GDDR5X;NVIDIA;8;8;99649
371;Iris Graphics 5100;Intel;0;;40531
372;Radeon R9 280X2;AMD;3;20;28829
373;Radeon RX 470;AMD;4;13;3533
374;GeForce RTX 3050 4 GB;NVIDIA;4;17;17011
375;HD Graphics 610;Intel;0;10;20348
376;GeForce RTX 4060;NVIDIA;8;11;48051
377;Radeon HD 7870 GHz Edition;AMD;2;9;94767
378;GeForce GTX 1060 5 GB;NVIDIA;5;20;93503
379;Radeon R5 330 OEM;AMD;2;7;61472
380;GeForce GT 1030 GK107;NVIDIA;2;21;1681
381;HD Graphics 4600;Intel;0;6;48876
382;GeForce GTX 1080 11Gbps;NVIDIA;8;15;65968
383;GeForce RTX 3070;NVIDIA;8;20;21108
384;Radeon Pro V340;AMD;16;14;64499
385;GeForce RTX 3090 Ti;NVIDIA;24;16;74909
386;GeForce RTX 3050 8 GB;NVIDIA;8;10;70071
387;GeForce GTX 1060 6 GB Rev. 2;NVIDIA;6;21;77178
388;GeForce GTX 1650 GDDR6;NVIDIA;4;12;85241
389;Iris Xe MAX Graphics;Intel;0;18;26294
390;Radeon R7 370;AMD;2;11;28713
391;GeForce RTX 3060 Ti;NVIDIA;8;9;9408
392;Radeon HD 7970 GHz Edition;AMD;3;;70819
393;Radeon HD 8860 OEM;AMD;2;5;8051
394;Radeon R7 370;AMD;2;10;48295
395;GeForce GTX 1660;NVIDIA;6;17;94749
396;TITAN X Pascal;NVIDIA;12;8;37813
397;Radeon Pro WX 5100;AMD;8;14;11831
398;TITAN V CEO Edition;NVIDIA;32;19;15203
399;GeForce GTX 1070 Ti;NVIDIA;8;9;45809
400;GeForce RTX 2070;NVIDIA;8;16;4930
401;HD Graphics 4200;Intel;0;4;43307
402;Radeon Vega Frontier Edition;AMD;16;9;24477
403;GeForce RTX 3050 OEM;NVIDIA;8;20;59592
404;UHD Graphics 617;Intel;0;5;88580
405;UHD Graphics 600;Intel;0;5;37946
406;Radeon R9 370 1024SP;AMD;2;4;15917
407;GeForce RTX 3070;NVIDIA;8;16;41572
408;GeForce GTX 960;NVIDIA;2;18;63682
409;UHD Graphics 750;Intel;0;5;42111
410;Iris Xe Graphics G7 80EU;Intel;0;11;5368
411;Radeon R7 240 OEM;AMD;2;9;4287
412;Radeon Pro V520;AMD;8;8;77967
413;GeForce RTX 4090;NVIDIA;24;6;63085
414;GeForce RTX 3050 4 GB;NVIDIA;4;6;49908
415;GeForce RTX 2060 TU104;NVIDIA;6;7;81220
416;GeForce GTX 1660;NVIDIA;6;18;56151
417;Radeon Pro Duo;AMD;4;11;98088
418;GeForce GT 1010;NVIDIA;2;20;15460
419;HD Graphics 530;Intel;0;19;91799
420;Radeon R7 350 OEM;AMD;2;16;84125
421;Radeon R9 290;AMD;4;;31637
422;Radeon Pro V520;AMD;8;8;92099
423;TITAN Xp;NVIDIA;12;21;75504
424;GeForce RTX 4080 16 GB;NVIDIA;16;4;31987
425;Iris Plus Graphics 650;Intel;0;21;9674
426;GeForce GTX 950;NVIDIA;2;14;48711
427;Radeon Pro V520;AMD;8;13;16248
428;UHD Graphics G7;Intel;0;12;55084
429;Iris Graphics 5100;Intel;0;16;8126
430;GeForce RTX 3050 8 GB GA107;NVIDIA;8;17;26839
431;Radeon R9 285X;AMD;3;8;99117
432;UHD Graphics P630;Intel;0;21;21369
433;GeForce GTX 1070 Ti;NVIDIA;8;19;97128
434;GeForce GTX 1060 6 GB GDDR5X;NVIDIA;6;;31400
435;Radeon HD 7970 X2;AMD;3;20;71252
436;GeForce GTX 1650 TU106;NVIDIA;4;5;95992
437;Iris Plus Graphics G7;Intel;0;20;61391
438;HD Graphics P4700;Intel;0;9;26410
439;UHD Graphics G1;Intel;0;12;36574
440;Iris Xe Graphics G7 96EU;Intel;0;11;65164
441;UHD Graphics 710;Intel;0;;44648
442;Radeon R5 430 OEM;AMD;2;6;1049
443;Radeon RX 455 OEM;AMD;2;10;49898
444;Radeon R7 370;AMD;2;9;74749
445;Radeon R9 FURY;AMD;4;18;81818
446;Radeon Pro V5300X;AMD;4;10;80903
447;Iris Plus Graphics 640;Intel;0;11;73444
448;Radeon HD 8670 OEM;AMD;2;15;44224
449;GeForce RTX 2060;NVIDIA;6;12;70317
450;GeForce GTX 960 OEM;NVIDIA;3;16;35867
451;HD Graphics 515;Intel;0;21;43820
452;Radeon R7 340 OEM;AMD;2;21;69785
453;Radeon R7 350;AMD;2;;52757
454;GeForce GTX 1070 Ti;NVIDIA;8;12;91219
455;HD Graphics P4000;Intel;0;20;58777
456;GeForce RTX 2070;NVIDIA;8;10;45718
457;Iris Plus Graphics 655;Intel;0;15;86019
458;Radeon HD 8670 OEM;AMD;2;14;79911
459;HD Graphics 610;Intel;0;14;33569
460;UHD Graphics;Intel;0;8;20126
461;GeForce GTX 1070 Ti;NVIDIA;8;20;54695
462;GeForce RTX 2060 12 GB;NVIDIA;12;19;93043
463;Radeon Pro Duo Polaris;AMD;16;7;89590
464;Radeon Vega Frontier Edition Watercooled;AMD;16;4;73823
465;GeForce GTX 1060 6 GB;NVIDIA;6;14;78823
466;Radeon R9 390X;AMD;8;8;71940
467;Radeon Pro WX 7100;AMD;8;14;63682
468;UHD Graphics 617;Intel;0;4;79016
469;GeForce GTX 1660 Ti;NVIDIA;6;9;91321
470;GeForce RTX 3050 OEM;NVIDIA;8;18;17951
471;GeForce RTX 4090;NVIDIA;24;9;70761
472;GeForce GTX 1080 Ti 10 GB;NVIDIA;10;19;14572
473;Radeon R5 340X OEM;AMD;2;18;80593
474;Radeon R9 285;AMD;2;17;23149
475;UHD Graphics 610;Intel;0;12;96804
476;Radeon R5 330 OEM;AMD;2;13;90612
477;GeForce RTX 2060 12 GB;NVIDIA;12;19;95871
478;Radeon R7 250 OEM;AMD;2;9;35520
479;HD Graphics 615;Intel;0;7;37336
480;Radeon HD 8870 OEM;AMD;2;10;25115
481;GeForce GTX 1080 11Gbps;NVIDIA;8;10;61532
482;Radeon R5 240 OEM;AMD;2;17;15075
483;TITAN Xp;NVIDIA;12;13;64199
484;GeForce GTX 1070;NVIDIA;8;10;25920
485;GeForce RTX 3090 Ti;NVIDIA;24;10;64550
486;GeForce RTX 3060 Ti;NVIDIA;8;16;4203
487;Radeon R9 290;AMD;4;20;36648
488;Radeon Pro WX 8200;AMD;8;8;24867
489;Radeon R9 370;AMD;2;15;95396
490;GeForce GTX 1660;NVIDIA;6;19;96600
491;Radeon Pro VII;AMD;16;8;12511
492;Radeon Pro V320;AMD;16;21;21716
493;Iris Xe Graphics 96EU;Intel;0;11;58779
494;Iris Xe Graphics G7 80EU;Intel;0;16;47398
495;GeForce RTX 4090;NVIDIA;24;15;40600
496;GeForce GTX 1650 GDDR6;NVIDIA;4;20;93614
497;Iris Graphics 6100;Intel;0;8;65097
498;Iris Graphics 6100;Intel;0;5;62649
499;Radeon HD 7870 GHz Edition;AMD;2;11;19785
500;UHD Graphics P630;Intel;0;16;71211
501;Radeon Pro V320;AMD;16;4;37661
502;GeForce RTX 4090;NVIDIA;24;19;17450
503;Radeon R9 255 OEM;AMD;2;7;37219
504;GeForce RTX 3060 8 GB;NVIDIA;8;12;58874
505;GeForce RTX 4080 Ti;NVIDIA;20;;46564
506;Radeon Pro W6600;AMD;8;7;17061
507;Radeon R7 250 OEM;AMD;2;;25134
508;GeForce GTX 1050 3 GB;NVIDIA;3;14;38615
509;GeForce GTX 1080 Ti 10 GB;NVIDIA;10;14;89643
510;Radeon R9 285X;AMD;3;15;45452
511;Radeon R7 350;AMD;2;16;96490
512;TITAN V CEO Edition;NVIDIA;32;17;43166
513;Radeon R7 360;AMD;2;9;94723
514;HD Graphics 2000;Intel;0;16;33605
515;HD Graphics P3000;Intel;0;5;7593
516;HD Graphics 615;Intel;0;13;35360
517;Radeon R7 240 OEM;AMD;2;4;76288
518;UHD Graphics G1;Intel;0;4;60258
519;Radeon HD 7950;AMD;3;17;6908
520;TITAN RTX;NVIDIA;24;7;64354
521;Radeon HD 7870 XT;AMD;2;20;26769
522;GeForce GTX 1060 3 GB;NVIDIA;3;10;27382
523;Radeon HD 7950 Monica BIOS 1;AMD;3;6;96587
524;TITAN RTX;NVIDIA;24;9;16202
525;Iris Xe Graphics G7 80EU;Intel;0;;38911
