id;memory;ram_stick_type;clock_speed
316;8;DDR4;800
317;16;DDR2;2400
318;32;DDR3;1333
319;8;DDR3;800
320;2;DDR4;300
321;32;DDR2;300
322;32;DDR1;533
323;4;DDR1;3600
324;4;DDR4;2666
325;32;DDR2;266
326;8;DDR2;400
327;2;DDR1;3600
328;2;DDR4;2933
329;4;DDR1;3600
330;16;DDR1;667
331;32;DDR1;200
332;4;DDR3;4400
333;8;DDR1;3200
334;4;DDR1;667
335;8;DDR3;2933
336;4;DDR1;4400
337;2;DDR3;533
338;2;DDR1;533
339;4;DDR1;200
340;4;DDR1;2400
341;2;DDR2;667
342;2;DDR4;266
343;16;DDR1;200
344;8;DDR2;3600
345;4;DDR3;3000
346;4;DDR3;2400
347;8;DDR1;2666
348;4;DDR4;3600
349;4;DDR2;3200
350;32;DDR4;800
351;8;DDR4;4000
352;16;DDR2;266
353;16;DDR1;2933
354;2;DDR1;1333
355;32;DDR4;2933
356;32;DDR4;3600
357;2;DDR2;533
358;4;DDR4;533
359;32;DDR4;667
360;16;DDR1;667
361;2;DDR4;800
362;8;DDR2;800
363;2;DDR4;4000
364;8;DDR1;2400
365;16;DDR1;1333
366;8;DDR3;333
367;2;DDR1;300
368;32;DDR4;533
369;32;DDR4;4000
370;2;DDR1;3600
371;2;DDR3;3600
372;4;DDR3;1066
373;32;DDR1;800
374;8;DDR2;2933
375;8;DDR4;2933
376;2;DDR4;2666
377;16;DDR1;1600
378;16;DDR1;333
379;32;DDR3;1333
380;16;DDR2;2933
381;2;DDR3;266
382;4;DDR4;200
383;2;DDR3;667
384;32;DDR1;300
385;16;DDR2;266
386;32;DDR4;3600
387;16;DDR4;1600
388;32;DDR4;1000
389;32;DDR1;3600
390;4;DDR3;800
391;4;DDR1;2933
392;32;DDR1;266
393;2;DDR2;1600
394;4;DDR4;667
395;8;DDR3;4400
396;16;DDR1;2400
397;4;DDR4;2666
398;2;DDR1;200
399;32;DDR1;4400
400;4;DDR2;2400
401;32;DDR2;3200
402;32;DDR1;1600
403;32;DDR4;266
404;32;DDR1;3200
405;32;DDR3;533
406;8;DDR3;400
407;2;DDR2;667
408;32;DDR3;200
409;2;DDR2;400
410;2;DDR2;266
411;8;DDR1;2933
412;2;DDR1;200
413;8;DDR2;4000
414;16;DDR4;800
415;4;DDR2;2666
416;4;DDR3;1600
417;2;DDR2;3600
418;32;DDR2;1333
419;32;DDR1;667
420;2;DDR3;333
421;16;DDR3;1066
422;2;DDR2;2933
423;2;DDR4;667
424;32;DDR1;3200
425;16;DDR2;2666
426;16;DDR2;266
427;32;DDR3;2666
428;32;DDR4;800
429;16;DDR3;2400
430;4;DDR2;1066
431;8;DDR3;3000
432;8;DDR4;1066
433;8;DDR2;1066
434;16;DDR1;800
435;8;DDR4;533
436;16;DDR1;800
437;16;DDR4;533
438;2;DDR3;2666
439;8;DDR2;4000
440;8;DDR2;4400
441;2;DDR1;2666
442;8;DDR1;4000
443;4;DDR2;3200
444;16;DDR2;1600
445;4;DDR1;800
446;16;DDR4;3200
447;32;DDR3;200
448;16;DDR2;2933
449;2;DDR4;266
450;8;DDR4;266
451;32;DDR2;266
452;4;DDR2;300
453;4;DDR4;266
454;32;DDR4;1000
455;2;DDR1;2933
456;8;DDR2;3600
457;16;DDR2;3200
458;2;DDR4;1000
459;4;DDR1;3000
460;8;DDR2;1600
461;8;DDR4;1600
462;32;DDR4;667
463;4;DDR2;667
464;16;DDR2;800
465;2;DDR3;1066
466;2;DDR3;3600
467;4;DDR3;800
468;8;DDR3;266
469;8;DDR1;3600
470;2;DDR3;266
471;2;DDR1;2400
472;2;DDR2;2400
473;32;DDR2;200
474;32;DDR1;2933
475;2;DDR3;266
476;8;DDR1;800
477;2;DDR4;3600
478;16;DDR3;1600
479;4;DDR1;2400
480;4;DDR3;2400
481;16;DDR2;1600
482;2;DDR4;667
483;4;DDR3;200
484;2;DDR4;800
485;4;DDR3;800
486;32;DDR1;4000
487;8;DDR4;533
488;16;DDR2;300
489;4;DDR4;2666
490;4;DDR3;3200
491;4;DDR1;4000
492;16;DDR4;266
493;16;DDR2;3600
494;4;DDR3;4400
495;16;DDR1;2933
496;16;DDR4;800
497;2;DDR4;1600
498;16;DDR4;3000
499;4;DDR4;3000
500;4;DDR3;2933
501;4;DDR1;4400
502;8;DDR1;2400
503;32;DDR2;1600
504;32;DDR2;533
505;4;DDR4;266
506;16;DDR2;4000
507;32;DDR2;1600
508;2;DDR1;800
509;4;DDR2;3200
510;16;DDR3;3000
511;8;DDR2;2666
512;32;DDR1;800
513;32;DDR1;800
514;32;DDR1;667
515;8;DDR3;1600
516;16;DDR2;800
517;32;DDR1;1000
518;2;DDR2;2933
519;8;DDR2;2933
520;2;DDR4;800
521;16;DDR3;2933
522;8;DDR1;400
523;8;DDR1;2666
524;32;DDR2;4000
525;4;DDR1;4400
526;32;DDR1;4400
527;8;DDR3;200
528;32;DDR1;1333
529;2;DDR3;1000
530;2;DDR4;667
531;16;DDR1;800
532;4;DDR2;667
533;32;DDR4;800
534;4;DDR4;200
535;4;DDR2;333
536;32;DDR1;266
537;4;DDR4;3600
538;4;DDR4;1066
539;32;DDR3;1066
540;16;DDR2;800
541;8;DDR3;800
542;16;DDR3;2666
543;8;DDR4;266
544;32;DDR2;4400
545;4;DDR2;2666
546;2;DDR4;533
547;32;DDR3;1000
548;8;DDR3;1333
549;4;DDR4;800
550;2;DDR4;333
551;4;DDR2;2933
552;2;DDR1;400
553;32;DDR3;3200
554;8;DDR1;300
555;8;DDR2;4000
556;4;DDR2;3000
557;16;DDR1;800
558;2;DDR2;1600
559;32;DDR4;1600
560;4;DDR2;1066
561;4;DDR2;266
562;4;DDR2;533
563;4;DDR4;200
564;32;DDR4;800
565;32;DDR2;3200
566;32;DDR1;4400
567;8;DDR2;200
568;16;DDR1;2933
569;8;DDR2;200
570;16;DDR2;200
571;2;DDR1;200
572;16;DDR2;1066
573;16;DDR3;4000
574;2;DDR4;300
575;4;DDR4;2400
576;16;DDR1;800
577;32;DDR1;3200
578;4;DDR4;800
579;2;DDR1;1600
580;4;DDR2;2666
581;8;DDR3;2666
582;16;DDR1;667
583;16;DDR2;1000
584;4;DDR4;2933
585;4;DDR3;2666
586;8;DDR4;300
587;4;DDR2;266
588;2;DDR1;400
589;4;DDR4;1066
590;4;DDR2;200
591;4;DDR1;2666
592;4;DDR4;3200
593;8;DDR2;800
594;32;DDR4;800
595;32;DDR1;3600
596;4;DDR3;266
597;8;DDR1;1333
598;2;DDR1;2400
599;8;DDR2;300
600;8;DDR4;1000
601;2;DDR3;533
602;16;DDR1;200
603;4;DDR2;2400
604;2;DDR3;1333
605;2;DDR3;1000
606;32;DDR3;1600
607;4;DDR1;2666
608;32;DDR1;3200
609;8;DDR1;4000
610;4;DDR3;1600
611;4;DDR1;400
612;32;DDR3;333
613;32;DDR2;300
614;8;DDR1;300
615;16;DDR4;1000
616;4;DDR4;667
617;4;DDR2;1600
618;16;DDR2;800
619;4;DDR3;1600
620;4;DDR4;533
621;8;DDR4;266
622;4;DDR4;266
623;8;DDR4;200
624;8;DDR2;2666
625;32;DDR3;1066
626;16;DDR2;2933
627;8;DDR4;2666
628;4;DDR1;2666
629;8;DDR1;1333
630;4;DDR3;3600
631;16;DDR2;266
632;4;DDR3;3600
633;4;DDR4;333
634;16;DDR3;2933
635;8;DDR3;200
636;16;DDR3;800
637;2;DDR4;800
638;4;DDR3;667
639;32;DDR3;667
640;8;DDR4;1333
641;4;DDR4;200
642;2;DDR4;1333
643;8;DDR4;4400
644;32;DDR4;800
645;8;DDR4;1333
646;2;DDR1;2933
647;4;DDR2;1066
648;32;DDR4;3000
649;4;DDR2;4000
650;16;DDR4;533
651;32;DDR4;1600
652;2;DDR2;333
653;8;DDR4;1333
654;32;DDR3;333
655;16;DDR3;1600
656;8;DDR2;1333
657;32;DDR1;4000
658;16;DDR1;266
659;2;DDR1;4000
660;32;DDR2;2666
661;2;DDR2;2400
662;16;DDR1;1600
663;32;DDR2;400
664;4;DDR4;533
665;32;DDR3;200
666;8;DDR1;4400
667;8;DDR1;2933
668;4;DDR3;1066
669;32;DDR1;4400
670;16;DDR2;3200
671;16;DDR1;333
672;4;DDR3;4000
673;32;DDR1;4400
674;4;DDR4;4400
675;16;DDR3;300
676;4;DDR3;3600
677;32;DDR2;533
678;2;DDR3;300
679;4;DDR4;200
680;16;DDR4;3600
681;32;DDR4;800
682;32;DDR1;800
683;2;DDR4;2933
684;8;DDR4;533
685;32;DDR1;400
686;8;DDR2;200
687;32;DDR3;3600
688;4;DDR4;3200
689;32;DDR3;3200
690;4;DDR4;3600
691;4;DDR4;1333
692;16;DDR2;3200
693;32;DDR4;3200
694;32;DDR1;533
695;32;DDR3;400
696;16;DDR2;1000
697;2;DDR2;4400
698;16;DDR3;1333
699;16;DDR2;300
700;2;DDR1;266
701;16;DDR4;2400
702;4;DDR4;400
703;16;DDR1;800
704;8;DDR2;3600
705;32;DDR3;266
706;32;DDR1;800
707;8;DDR2;3600
708;16;DDR4;533
709;4;DDR3;3200
710;4;DDR4;800
711;2;DDR1;2400
712;32;DDR2;800
713;2;DDR3;800
714;4;DDR2;266
715;2;DDR2;4000
716;16;DDR2;3000
717;8;DDR1;1600
718;16;DDR2;533
719;8;DDR3;3600
720;2;DDR2;3000
721;8;DDR2;400
722;16;DDR3;2400
723;2;DDR3;800
724;16;DDR1;300
725;2;DDR2;667
726;32;DDR3;300
727;8;DDR4;300
728;8;DDR1;3000
729;2;DDR2;667
730;32;DDR3;800
731;8;DDR4;4000
732;8;DDR1;533
733;16;DDR4;2933
734;2;DDR2;533
735;16;DDR4;1600
736;2;DDR2;1066
737;16;DDR2;533
738;4;DDR1;2933
739;8;DDR4;333
740;2;DDR2;200
741;16;DDR1;800
742;32;DDR4;1333
743;4;DDR3;1600
744;8;DDR4;533
745;8;DDR3;1600
746;32;DDR4;400
747;8;DDR4;2666
748;32;DDR4;3000
749;16;DDR3;300
750;2;DDR4;3000
751;2;DDR2;800
752;32;DDR4;800
753;4;DDR1;4400
754;4;DDR1;533
755;8;DDR3;1066
756;4;DDR4;333
757;4;DDR4;2933
758;4;DDR2;4400
759;16;DDR4;333
760;8;DDR1;800
761;8;DDR4;3000
762;4;DDR4;2933
763;8;DDR2;1066
764;32;DDR4;1333
765;4;DDR1;1600
766;8;DDR2;2933
767;32;DDR4;400
768;32;DDR4;4000
769;16;DDR2;1333
770;16;DDR3;4000
771;2;DDR4;4000
772;16;DDR2;4400
773;4;DDR1;533
774;2;DDR1;800
775;8;DDR4;667
776;16;DDR4;3200
777;16;DDR2;800
778;2;DDR3;1066
779;2;DDR2;800
780;2;DDR4;3000
781;2;DDR3;3000
782;8;DDR2;200
783;4;DDR4;266
784;4;DDR3;333
785;8;DDR1;333
786;8;DDR3;2933
787;8;DDR4;400
788;4;DDR4;3200
789;16;DDR3;800
790;16;DDR1;1000
791;4;DDR3;300
792;16;DDR3;2666
793;2;DDR2;3200
794;2;DDR1;200
795;16;DDR3;400
796;2;DDR2;533
797;16;DDR4;4000
798;2;DDR2;1000
799;8;DDR2;533
800;8;DDR3;667
801;32;DDR2;4400
802;4;DDR2;3000
803;32;DDR4;1066
804;16;DDR1;667
805;2;DDR3;4000
806;8;DDR3;4400
807;32;DDR2;800
808;32;DDR2;2400
809;4;DDR3;1000
810;2;DDR4;4000
811;2;DDR2;300
812;2;DDR1;400
813;2;DDR2;4000
814;16;DDR1;1066
815;16;DDR2;3000
816;16;DDR3;4400
817;32;DDR1;4000
818;4;DDR1;2666
819;16;DDR4;300
820;16;DDR3;400
821;8;DDR1;200
822;16;DDR1;4400
823;2;DDR4;533
824;4;DDR2;4000
825;32;DDR2;2666
826;8;DDR2;1000
827;8;DDR1;200
828;4;DDR2;3200
829;32;DDR4;667
830;8;DDR1;266
831;8;DDR1;533
832;32;DDR4;800
833;2;DDR4;2933
834;4;DDR2;3000
835;32;DDR1;266
836;16;DDR3;1000
837;16;DDR2;4000
838;16;DDR2;4000
839;8;DDR2;800
840;4;DDR4;266
841;4;DDR4;4000
842;8;DDR1;4400
843;8;DDR1;800
844;2;DDR2;333
845;2;DDR2;1000
846;4;DDR3;333
847;32;DDR3;800
848;8;DDR3;1333
849;32;DDR3;2666
850;8;DDR4;400
851;16;DDR4;800
852;16;DDR3;333
853;16;DDR4;2933
854;8;DDR1;1000
855;4;DDR3;3600
856;32;DDR1;400
857;4;DDR4;3000
858;2;DDR2;800
859;4;DDR2;333
860;2;DDR2;266
861;16;DDR3;1600
862;2;DDR2;4400
863;4;DDR4;300
864;8;DDR1;300
865;32;DDR1;1000
866;16;DDR2;3600
867;16;DDR4;3600
868;8;DDR1;1600
869;16;DDR2;400
870;16;DDR3;2666
871;16;DDR3;3200
872;8;DDR2;4000
873;16;DDR2;1333
874;32;DDR1;667
875;32;DDR1;3200
876;16;DDR4;4400
877;8;DDR1;300
878;2;DDR4;400
879;32;DDR1;1333
880;32;DDR3;3200
881;16;DDR1;1000
882;32;DDR4;667
883;16;DDR2;800
884;2;DDR1;2400
885;16;DDR1;3200
886;32;DDR2;2400
887;2;DDR3;1600
888;16;DDR4;266
889;16;DDR2;266
890;32;DDR1;200
891;16;DDR1;4000
892;8;DDR3;333
893;4;DDR1;4400
894;32;DDR2;400
895;32;DDR1;3600
896;4;DDR3;1600
897;8;DDR3;1066
898;4;DDR1;800
899;2;DDR2;4400
900;32;DDR4;800
901;32;DDR2;3000
902;16;DDR4;400
903;32;DDR4;667
904;32;DDR4;667
905;32;DDR4;3200
906;8;DDR2;200
907;4;DDR1;800
908;4;DDR1;2933
909;4;DDR3;3600
910;32;DDR3;300
911;8;DDR1;3000
912;4;DDR2;3000
913;4;DDR1;2400
914;4;DDR4;1066
915;4;DDR1;400
916;16;DDR1;4400
917;16;DDR4;3000
918;2;DDR4;3600
919;32;DDR1;333
920;2;DDR1;667
921;2;DDR3;800
922;4;DDR3;533
923;32;DDR1;1000
924;4;DDR3;2400
925;16;DDR2;800
926;32;DDR1;3200
927;16;DDR3;3200
928;2;DDR2;266
929;32;DDR4;1333
930;8;DDR3;1333
931;2;DDR3;1066
932;8;DDR4;667
933;4;DDR4;200
934;32;DDR2;200
935;16;DDR2;800
936;2;DDR1;1600
937;32;DDR1;2933
938;2;DDR2;1066
939;4;DDR4;266
940;4;DDR4;3000
941;32;DDR3;1066
942;4;DDR4;4000
943;2;DDR2;333
944;4;DDR3;2933
945;2;DDR4;333
946;16;DDR3;3200
947;4;DDR3;800
948;4;DDR4;3200
949;16;DDR1;266
950;8;DDR3;400
951;16;DDR3;300
952;2;DDR2;3000
953;8;DDR1;333
954;32;DDR3;1600
955;16;DDR1;266
956;8;DDR2;800
957;4;DDR3;2933
958;2;DDR4;2666
959;8;DDR3;300
960;4;DDR4;300
961;8;DDR1;3200
962;2;DDR4;333
963;4;DDR2;266
964;2;DDR2;200
965;2;DDR1;1333
966;4;DDR2;800
967;4;DDR1;800
968;4;DDR4;800
969;8;DDR3;800
970;8;DDR3;4400
971;32;DDR3;1066
972;8;DDR1;4000
973;8;DDR3;800
974;2;DDR3;1066
975;16;DDR4;200
976;32;DDR3;667
977;16;DDR3;2666
978;2;DDR2;2933
979;8;DDR3;400
980;4;DDR1;400
981;2;DDR3;333
982;2;DDR3;3200
983;4;DDR2;2933
984;2;DDR2;200
985;4;DDR1;300
986;2;DDR3;2400
987;8;DDR1;800
988;8;DDR2;300
989;16;DDR1;3200
990;8;DDR1;300
991;16;DDR1;2400
992;2;DDR4;3200
993;8;DDR4;200
994;8;DDR1;3000
995;4;DDR3;3200
996;2;DDR4;3200
997;4;DDR3;800
998;32;DDR3;667
999;4;DDR2;200
1000;4;DDR1;1066
1001;4;DDR1;4000
1002;2;DDR3;266
1003;4;DDR1;3000
1004;4;DDR4;4400
1005;8;DDR2;4400
1006;32;DDR3;3000
1007;2;DDR2;667
1008;2;DDR1;533
1009;32;DDR4;800
1010;32;DDR3;667
1011;16;DDR3;1333
1012;2;DDR1;1000
1013;2;DDR1;667
1014;8;DDR1;1600
1015;32;DDR1;4000
1016;8;DDR2;1600
1017;2;DDR4;1000
1018;32;DDR3;4400
1019;8;DDR4;4000
1020;4;DDR3;266
1021;4;DDR1;800
1022;32;DDR4;2666
1023;32;DDR1;200
1024;32;DDR3;2933
1025;16;DDR3;266
1026;4;DDR4;4400
1027;8;DDR1;4000
1028;32;DDR2;667
1029;8;DDR4;1333
1030;2;DDR4;533
1031;16;DDR3;667
1032;8;DDR3;333
1033;32;DDR1;4000
1034;2;DDR1;533
1035;8;DDR3;667
1036;16;DDR4;1000
1037;32;DDR3;4400
1038;2;DDR4;3200
1039;2;DDR2;400
1040;32;DDR1;300
1041;8;DDR1;266
1042;4;DDR1;667
1043;4;DDR4;200
1044;32;DDR2;800
1045;32;DDR2;1333
1046;32;DDR4;1600
1047;32;DDR1;2666
1048;8;DDR3;200
1049;16;DDR2;1600
1050;8;DDR2;3000
1051;8;DDR1;400
1052;32;DDR3;3000
1053;32;DDR3;533
1054;4;DDR3;4000
1055;4;DDR2;2400
1056;2;DDR1;2400
1057;2;DDR4;4400
1058;4;DDR4;800
1059;32;DDR4;266
1060;2;DDR3;3600
1061;8;DDR3;300
1062;8;DDR4;667
1063;4;DDR4;266
1064;32;DDR1;800
1065;4;DDR2;533
1066;2;DDR4;2400
1067;8;DDR1;4000
1068;2;DDR3;533
1069;8;DDR3;200
1070;8;DDR1;2933
1071;16;DDR3;266
1072;4;DDR2;1600
1073;16;DDR1;1066
1074;16;DDR4;800
1075;32;DDR2;800
1076;8;DDR2;4400
1077;8;DDR3;1600
1078;4;DDR3;1000
1079;2;DDR3;3000
1080;16;DDR2;1066
1081;2;DDR3;300
1082;8;DDR4;333
1083;4;DDR3;4000
1084;2;DDR4;2400
1085;8;DDR3;2400
1086;16;DDR1;333
1087;8;DDR1;300
1088;16;DDR4;3000
1089;2;DDR2;333
1090;4;DDR2;3000
1091;16;DDR1;533
1092;4;DDR3;533
1093;8;DDR1;4400
1094;8;DDR2;2933
1095;32;DDR2;400
1096;2;DDR1;1600
1097;32;DDR2;266
1098;2;DDR2;2400
1099;32;DDR2;1600
1100;32;DDR3;3000
1101;32;DDR3;1333
1102;4;DDR2;2400
1103;32;DDR2;1066
1104;16;DDR4;533
1105;32;DDR4;667
1106;2;DDR1;533
1107;2;DDR1;2933
1108;2;DDR4;2400
1109;16;DDR1;200
1110;2;DDR4;1000
1111;4;DDR1;2400
1112;32;DDR4;400
1113;8;DDR2;3200
1114;16;DDR3;400
1115;8;DDR4;400
1116;32;DDR4;4400
1117;4;DDR1;1333
1118;8;DDR1;266
1119;32;DDR2;3000
1120;32;DDR2;333
1121;8;DDR1;2666
1122;16;DDR3;266
1123;8;DDR3;800
1124;32;DDR3;800
1125;32;DDR2;400
1126;2;DDR1;300
1127;16;DDR2;1066
1128;2;DDR4;300
1129;8;DDR2;800
1130;4;DDR1;2666
1131;32;DDR2;2400
1132;16;DDR4;4400
1133;2;DDR2;1000
1134;4;DDR4;1333
1135;16;DDR4;400
1136;16;DDR4;200
1137;32;DDR1;1066
1138;32;DDR3;2666
1139;8;DDR2;3600
1140;4;DDR4;3600
1141;2;DDR4;2400
1142;2;DDR2;200
1143;16;DDR1;2933
1144;16;DDR2;1000
1145;4;DDR1;1333
1146;2;DDR1;333
1147;4;DDR3;4000
1148;4;DDR4;1000
1149;4;DDR3;1000
1150;32;DDR4;667
1151;16;DDR3;1066
1152;4;DDR3;3600
1153;32;DDR3;800
1154;32;DDR3;200
1155;8;DDR1;266
1156;16;DDR3;2933
1157;2;DDR3;333
1158;8;DDR2;4400
1159;4;DDR1;3600
1160;2;DDR1;2933
1161;4;DDR2;667
1162;16;DDR2;1066
1163;32;DDR2;1066
1164;32;DDR1;667
1165;4;DDR1;300
1166;2;DDR4;800
1167;2;DDR2;1600
1168;32;DDR3;800
1169;8;DDR1;4000
1170;16;DDR4;1000
1171;4;DDR2;1600
1172;2;DDR3;1600
1173;16;DDR4;2933
1174;2;DDR3;2400
1175;32;DDR4;1000
1176;16;DDR1;3200
1177;32;DDR2;2933
1178;16;DDR4;3600
1179;2;DDR4;1066
1180;16;DDR3;1333
1181;4;DDR2;400
1182;8;DDR1;3200
1183;2;DDR4;3000
1184;16;DDR1;3200
1185;8;DDR3;300
1186;16;DDR2;2666
1187;4;DDR3;800
1188;32;DDR1;3600
1189;4;DDR4;3200
1190;4;DDR2;266
1191;8;DDR2;800
